"Year","V2","V3","V4"
2000,369.773569131266,250.087239346942,510.676171299625
2001,452.662909752987,305.900426310522,588.11630435633
2002,534.284388638929,362.224528160848,693.422973469456
2003,609.144855726203,417.233911549967,805.977356283699
2004,671.959249393661,466.390547831731,902.936309562346
2005,719.036010312802,508.094412334367,975.687019567724
2006,744.554722787381,536.792869701951,1010.90158873371
2007,748.03780795022,550.058516881289,1006.87252910251
2008,714.185202003639,534.915860208891,946.385342245307
2009,699.152022442202,534.481859093855,912.83726265541
2010,675.115879290831,527.207643708746,866.693150534134
2011,659.704909477485,521.516895328623,833.038205617671
2012,587.725219731878,471.273123892028,731.013696992733
2013,521.405413662655,423.617208030714,653.51250802714
2014,481.70397033706,393.977788218318,619.802121994142
2015,444.718472024194,362.127396292368,585.469697279037
2016,408.643963211585,332.662467084408,551.830294437514
2017,354.369006201933,289.094100788962,498.041838245572
2018,320.566075660975,261.360713640624,468.570199958825
2019,289.165365935633,235.470989220661,437.958212549352
2020,260.25456238475,211.553017827331,407.242585202208
2021,238.590546066088,193.640711115588,385.197708095517
2022,223.456767033864,181.12094682379,371.662947271399
2023,214.189655931691,171.894110952184,366.610255419923
2024,205.465246519478,162.905556637389,361.031013731387
2025,197.089706487478,154.687780311719,355.465734814301
2026,189.155060878378,147.084276350841,349.745548893275
2027,181.622747711467,139.962022435865,343.834412264836
2028,174.763191109155,133.27332460726,337.793245649449
2029,168.186301401431,126.995095558687,331.655017270817
2030,161.902268291651,121.206098202334,325.736739826411
2031,155.915490083244,115.792935926571,319.86955032215
2032,150.366225931372,110.670173028839,313.929138009773
2033,145.069723436743,105.814380485886,307.91091417034
2034,139.883475590551,101.198709748313,301.80419714775
2035,134.97500704708,96.8789202349094,295.816409409481
2036,130.229261636233,92.8093693238195,289.882161560433
2037,125.70513324618,88.9229527972246,283.873814601404
2038,121.498589818571,85.2071678328494,277.794612371577
2039,117.398233994847,81.647823566236,271.640480601618
2040,113.434108005438,78.2874370629716,265.574471601489
2041,109.607674975108,75.1046886251924,259.565685497011
2042,105.974281760501,72.0453744242581,253.493809757398
2043,102.505316142681,69.1025283199599,247.368184152159
2044,99.0768112211814,66.2703794299983,241.199199578749
2045,95.7190026346391,63.5863373518284,235.142911928392
2046,92.6641101742333,61.0327641134075,229.178797653019
2047,89.5693869430886,58.569749598552,223.203182199938
2048,86.6357128449609,56.1943563046471,217.219544623033
2049,83.7720686733779,53.903213252082,211.239228775712
2050,81.0153381241662,51.7269479311195,205.387674574981
